year,results
1950,19
1951,14
1952,10
1953,15
1954,15
1955,17
1956,39
1957,34
1958,36
1959,49
1960,92
1961,95
1962,153
1963,194
1964,234
1965,337
1966,467
1967,493
1968,694
1969,811
1970,1130
1971,1220
1972,1440
1973,1770
1974,1880
1975,2130
1976,2520
1977,2800
1978,3150
1979,3610
1980,4080
1981,4260
1982,4680
1983,5210
1984,5670
1985,6530
1986,7170
1987,8150
1988,9630
1989,11000
1990,12600
1991,14400
1992,16500
1993,20800
1994,24800
1995,28100
1996,32500
1997,30600
1998,35900
1999,39400
2000,45100
2001,49400
2002,63100
2003,80400
2004,93300
2005,106000
2006,97300
2007,128000
2008,141000
2009,149000
2010,135000
2011,145000
2012,158000
2013,134000
2014,111000
2015,82400
2016,56700
2017,53100
